,Armed Actors/ Security Personnel Casualties Total,Civilian Casualties Total,Civilians Injured,Civilians Killed,Country,Date,Description,Location,Province
646,0,2,0,2,Afghanistan,07/11/2020,2 killed in roadside bomb in Firoz Koh,Road,
647,1,0,0,0,Afghanistan,05/11/2020,Bomb attached to pro-gov forces vehicle in Mahmod Raqi killing commander,Urban Residential,
648,3,0,0,0,Afghanistan,05/11/2020,Soldier killed and 2 wounded in roadside bomb explsion in Khuram O Sarbagh District,Road,
649,16,3,0,3,Afghanistan,05/11/2020,Bomb explosion in Sholgara District kills 3 civilians and wounds 16 armed forces,No Information,
651,5,0,0,0,Afghanistan,02/11/2020,3 police killed and 2 wounded after roadside bomb explosion in Ab-Kamari district,Road,
653,0,1,0,1,Afghanistan,01/11/2020,1 killed in roadside bomb explosion in Bagrammi district,No Information,
666,0,35,20,15,Afghanistan,18/12/2020,15 killed in suspected rickshaw bomb at Koran recitation ceremony - Taliban report as UXO blast,Place Of Worship,
670,0,6,4,2,Afghanistan,19/12/2020,2 killed and 4 injured in roadside bomb blast in Greshk district,Road,
679,5,8,5,3,Afghanistan,22/12/2020,3 killed in car bomb explosion in Dawlat Abad district,Commercial Premises,
682,3,0,0,0,Afghanistan,23/12/2020,1 police killed and 2 others injured by explosion of magnetic IED attached to their vehicle,No Information,
690,12,0,0,0,Afghanistan,25/12/2020,7 Taliban killed in Chomtal district by airstrike,No Information,
693,11,0,0,0,Afghanistan,27/12/2020,9 al-Qaeda members killed in Afghan airstrikes in Nawa,No Information,
697,0,2,1,1,Afghanistan,31/12/2020,"A driver of Administrative Office of country's Presidential Palace, was killed and his boss injured in IED blast",Urban Residential,
704,2,0,0,0,Afghanistan,23/12/2020,Roadside bomb kills 1 soldier and wounds another in Aab Pashak area,Road,
705,0,3,1,2,Afghanistan,22/12/2020,2 killed and 1 wounded in roadside bomb explosion in Malang village,Village,
706,5,0,0,0,Afghanistan,20/12/2020,3 police killed and 2 wounded in Taliban rocket fire ,Market,
708,2,0,0,0,Afghanistan,16/12/2020,Magnetic bomb kills 1 police officer and wounds abother in Sar-e-Sayyad area,No Information,
709,0,2,0,2,Afghanistan,14/12/2020,2 killed in Taliban roadside bomb in Jabadar area ,Urban Residential,
